url,doc_id,title,audience,category,language,document_version,license_or_permission

https://help.shopee.vn/portal/4/article/79046-[Quy-%c4%91%e1%bb%8bnh]-Ch%c3%adnh-s%c3%a1ch-b%e1%ba%a3o-h%c3%a0nh-cho-s%e1%ba%a3n-ph%e1%ba%a9m-mua-t%e1%ba%a1i-Shopee,shopee-buyer-warranty-policy,Chính sách bảo hành Shopee cho người mua,buyer,warranty-policy,vi,not-stated,public-source
https://help.shopee.vn/portal/4/article/79233-[Quy-%c4%91%e1%bb%8bnh]-Ch%c3%adnh-s%c3%a1ch-b%e1%ba%a3o-h%c3%a0nh-cho-s%e1%ba%a3n-ph%e1%ba%a9m-b%e1%ba%a3o-h%c3%a0nh-t%e1%ba%a1i-Shopee,shopee-seller-warranty-policy,Chính sách bảo hành Shopee cho người bán,seller,warranty-policy,vi,not-stated,public-source
https://seller-vn.tiktok.com/university/essay?knowledge_id=7997606615877377&lang=vi-VN,tiktok-seller-warranty-policy,Chính sách bảo hành TikTok Shop cho người bán,seller,warranty-policy,vi,not-stated,public-source
https://seller-vn.tiktok.com/university/essay?course_type=1&from=search&identity=1&knowledge_id=1766935302801169&role=1,tiktok-buyer-warranty-policy,Chính sách bảo hành TikTok Shop cho người mua,buyer,warranty-policy,vi,not-stated,public-source
https://www.thegioididong.com/chinh-sach-bao-hanh-san-pham,thegioididong-buyer-warranty-policy,Chính sách bảo hành Thế Giới Di Động cho người mua,buyer,warranty-policy,vi,not-stated,public-source
https://www.dienmayxanh.com/chinh-sach-bao-hanh-san-pham,dienmayxanh-buyer-warranty-policy,Chính sách bảo hành Điện Máy Xanh cho người mua,buyer,warranty-policy,vi,not-stated,public-source
https://fptshop.com.vn/ho-tro/chinh-sach-bao-hanh,fptshop-buyer-warranty-policy,Chính sách bảo hành FPT Shop cho người mua,buyer,warranty-policy,vi,not-stated,public-source
https://fptshop.com.vn/ho-tro/chinh-sach-bao-hanh,fptshop-seller-warranty-policy,Chính sách bảo hành và xử lý khiếu nại cho người bán FPT Shop,seller,warranty-policy,vi,not-stated,public-source
https://www.topzone.vn/bao-hanh-doi-tra,topzone-buyer-warranty-policy,Chính sách bảo hành TopZone cho người mua,buyer,warranty-policy,vi,not-stated,public-source
https://gearvn.com/pages/bao-hanh,gearvn-seller-warranty-policy,Chính sách bảo hành và trách nhiệm người bán trên GearVN,seller,warranty-policy,vi,not-stated,public-source
https://shopee-return-refund-guide-buyer,data/ecommerce/shopee-return-refund-guide-buyer.md,Hướng dẫn trả hàng/hoàn tiền cho người mua trên Shopee,shopee,buyer,return_refund,https://help.shopee.vn/portal/article/10?category=8,2026-09-20,not-stated,public-source
